#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
2	15	61	1	3	1	0	1	24	1	1	0	3	2	58	23	0	1	2	3	64	0
2	16	65	1	1	2	0	1	45	1	1	0	2	1	59	12	0	1	1	1	66	0
2	17	96	2	1	2	0	2	59	1	1	0	1	1	89	11	0	1	1	1	129	0
2	18	155	2	3	1	0	1	91	2	1	0	2	1	136	31	0	1	2	3	121	0
2	19	134	1	1	1	0	1	80	3	1	0	2	2	91	19	0	1	1	4	139	0
2	20	1297	3	16	1	0	5	704	9	1	0	3	2	833	33	0	1	2	32	1018	0
2	21	365	2	3	1	0	1	249	1	1	0	1	1	314	14	0	1	2	4	378	0
2	22	422	1	1	1	0	1	289	1	1	0	1	3	449	18	0	1	1	1	377	0
2	23	138	1	1	1	0	1	80	1	1	0	3	1	119	20	0	1	1	2	171	0
2	24	366	1	1	1	0	1	228	1	1	0	1	1	351	14	0	1	1	4	376	0
2	25	1851	1	3	1	0	1	1064	1	2	0	1	1	1236	28	0	1	3	13	1694	0
2	26	625	1	1	1	0	1	458	2	1	0	1	2	677	13	0	1	1	1	590	0
2	27	356	1	1	1	0	1	229	1	1	0	1	1	312	9	0	1	1	3	346	0
2	28	2475	1	3	1	0	2	1589	1	2	0	1	1	1862	19	0	2	1	18	2322	0
2	29	895	1	1	1	0	1	539	1	1	0	1	1	836	13	0	1	1	2	840	0
2	30	2654	1	2	1	0	2	1634	1	1	0	2	1	1922	14	0	1	1	6	2391	0
2	31	846	1	1	1	0	1	557	1	2	0	1	1	826	11	0	1	1	2	880	0
2	32	3590	1	2	1	0	1	2302	1	1	0	3	1	2754	15	0	1	2	5	3488	0
2	33	2951	1	1	1	0	1	1829	1	1	0	1	1	2000	4	0	1	2	3	2827	0
2	34	2830	1	2	1	0	1	1663	1	3	0	2	1	2557	7	0	1	2	2	2853	0
2	35	8353	1	2	1	0	2	5521	1	1	0	2	1	6194	3	0	1	1	1	7229	0
2	36	9237	1	1	1	0	1	6030	2	1	0	1	1	7576	5	0	1	1	1	8738	0
2	37	9757	1	1	1	0	3	6608	1	1	0	1	1	7089	1	0	1	1	1	8943	0
2	38	21428	1	1	1	0	5	18044	1	5	0	1	1	13209	2	0	1	2	1	20214	0
3	2	168	2	1	2	0	1	138	1	1	0	1	1	222	1	0	1	3	2	193	0
3	4	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	4	0
3	5	2	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	2	0
3	6	5	2	1	1	0	1	4	1	1	0	1	1	3	1	0	3	1	2	11	0
3	7	23	3	1	1	0	1	14	1	1	0	1	1	33	1	0	1	2	6	27	0
3	8	31	3	2	1	0	3	14	1	2	0	2	1	25	2	0	5	2	1	18	0
3	9	100	2	4	2	0	5	73	4	1	0	2	1	78	1	0	2	4	7	79	0
3	10	65	4	2	1	0	4	37	1	1	0	1	3	68	1	0	5	3	4	64	0
3	11	61	2	4	1	0	5	53	2	1	0	1	1	72	2	0	5	1	5	68	0
3	12	406	16	7	7	0	9	263	4	6	0	2	1	306	3	0	10	6	12	333	0
3	13	128	6	1	1	0	6	90	1	3	0	1	1	102	3	0	4	3	3	112	0
3	14	59	2	1	1	0	1	28	1	2	0	1	1	52	1	0	1	1	3	71	0
3	15	77	1	1	1	0	1	44	1	1	0	1	1	57	1	0	1	1	1	103	0
3	16	45	1	1	1	0	1	48	1	1	0	1	1	52	1	0	1	1	2	110	0
3	17	109	2	1	1	0	2	82	1	1	0	1	1	131	1	0	1	2	1	129	0
3	18	130	1	1	2	0	1	91	1	1	0	1	1	146	1	0	1	1	2	142	0
3	19	135	2	1	1	0	1	92	1	1	0	1	1	120	1	0	2	1	1	137	0
3	20	1088	2	4	1	0	3	750	1	3	0	2	1	892	1	0	2	3	2	977	0
3	21	338	1	1	1	0	1	252	1	1	0	1	1	350	1	0	1	3	1	328	0
3	22	327	1	1	1	0	1	300	1	1	0	1	1	505	1	0	1	1	1	393	0
3	23	147	1	1	1	0	1	96	1	1	0	1	1	172	1	0	1	1	1	164	0
3	24	309	1	1	1	0	1	258	1	1	0	2	1	344	1	0	2	1	1	396	0
3	25	1611	1	2	1	0	1	1164	1	1	0	1	1	1325	1	0	1	1	2	1602	0
3	26	569	1	1	1	0	1	536	1	1	0	2	1	735	1	0	1	1	1	660	0
3	27	296	1	1	1	0	1	226	1	1	0	1	1	366	1	0	1	1	1	341	0
3	28	2186	1	1	1	0	1	1683	1	2	0	2	1	1958	1	0	1	2	1	2170	0
3	29	724	1	1	1	0	1	645	1	2	0	1	1	854	1	0	1	1	1	810	0
3	30	2437	1	1	1	0	2	1811	1	1	0	1	1	2128	1	0	1	1	1	2498	0
3	31	769	1	1	1	0	1	630	1	1	0	1	1	883	1	0	1	1	1	844	0
3	32	3378	1	1	1	0	1	2617	1	1	0	1	1	3043	1	0	1	1	1	3290	0
3	33	2670	1	1	1	0	1	1994	2	1	0	1	1	2280	1	0	1	1	1	2740	0
3	34	2333	1	1	1	0	1	1833	2	1	0	1	1	2882	1	0	1	1	1	2733	0
3	35	7309	1	1	1	0	2	5842	1	1	0	1	1	7026	1	0	1	1	1	7222	0
3	36	7891	1	1	1	0	1	6415	1	3	0	1	1	8571	1	0	1	1	1	8338	0
3	37	8756	1	1	1	0	1	7099	1	2	0	2	1	7841	1	0	1	1	1	8612	0
3	38	18976	1	3	1	0	3	19824	1	2	0	1	2	15794	1	0	1	2	1	19590	0
4	2	191	1	1	1	0	3	162	1	1	1	1	1	228	1	0	2	3	6	163	0
4	4	4	1	1	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	3	0
4	5	3	1	1	1	0	1	1	1	1	0	1	1	1	1	0	3	2	3	7	0
4	6	4	1	1	1	0	2	4	1	1	0	1	1	7	1	0	5	1	3	21	0
4	7	41	2	3	2	0	3	28	1	1	0	2	1	26	1	0	2	1	3	43	0
4	8	39	3	2	2	0	5	5	1	1	0	2	2	38	1	0	9	5	8	42	0
4	9	132	3	7	3	0	10	86	2	1	0	3	1	93	1	0	13	4	10	108	0
4	10	85	4	6	1	0	1	48	1	1	0	2	1	52	1	0	3	2	12	74	0
4	11	80	4	2	4	0	5	50	2	1	0	1	2	83	1	0	5	4	6	88	0
4	12	372	10	10	3	0	8	215	4	2	0	2	2	246	2	0	8	5	11	282	0
4	13	140	3	5	1	0	4	115	1	1	0	1	2	117	1	0	3	1	8	123	0
4	14	68	1	1	1	0	2	45	2	2	0	1	1	63	1	0	1	1	1	74	0
4	15	75	2	1	1	0	1	55	1	1	0	1	1	69	1	0	1	1	2	117	0
4	16	85	1	1	2	0	1	56	1	1	0	1	1	64	1	0	2	1	1	100	0
4	17	104	1	1	1	0	1	95	1	1	0	1	1	122	1	0	1	1	4	199	0
4	18	159	2	1	1	0	1	91	1	1	0	1	1	144	1	0	1	1	1	174	0
4	19	131	1	1	1	0	1	89	1	1	0	1	1	113	1	0	2	1	2	151	0
