#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	2	7960	8572	2995	5428	2	7751	10723	3263	5955	0	2633	3399	1846	2076	0	5488	7290	2390	6136	1
0	11	19	14	3	12	0	1	11	1	1	0	2	2	17	4	0	2	1	1	25	0
0	12	91	10	4	14	0	20	88	1	1	0	44	1	141	5	0	29	4	1	203	0
0	13	39	12	4	5	0	2	25	1	1	0	4	2	36	2	0	7	1	3	45	0
0	15	258	10	2	1	0	2	140	2	1	0	2	4	87	1	0	3	11	1	264	0
0	16	237	4	1	3	0	1	118	2	2	0	1	3	77	1	0	4	3	4	238	0
0	17	261	9	2	1	0	1	170	2	1	0	1	2	112	1	0	2	3	2	244	0
0	18	280	7	3	4	0	3	213	1	2	0	2	1	143	1	0	5	6	2	308	0
0	19	343	8	1	1	0	1	215	1	1	0	1	2	158	1	0	4	7	1	345	0
0	20	861	22	3	10	0	7	693	1	2	0	37	1	727	2	0	37	11	4	1192	0
0	21	531	9	1	3	0	3	467	1	1	0	5	2	317	2	0	6	4	1	486	0
0	22	684	9	3	1	0	3	636	1	1	0	7	1	551	2	0	5	9	2	748	0
0	23	304	2	1	1	0	1	194	1	1	0	1	2	116	1	0	1	5	1	230	0
0	24	485	5	1	2	0	2	425	1	1	0	4	1	251	1	0	4	3	1	445	0
0	25	1378	8	4	1	0	6	1122	1	1	0	12	1	1154	2	0	27	8	2	1818	0
0	26	938	9	4	7	0	2	907	1	1	0	3	3	613	1	0	4	3	1	851	0
0	27	362	1	1	2	0	1	336	1	1	0	1	1	234	1	0	1	1	2	355	0
0	28	1942	8	1	3	0	4	1817	2	1	0	4	1	1664	1	0	4	5	1	2292	0
0	29	1132	7	1	3	0	3	1113	1	2	0	1	1	702	1	0	3	1	2	1028	0
0	30	2397	7	3	1	0	4	2233	1	2	0	2	1	1914	1	0	1	6	1	2650	0
0	31	1470	4	1	2	0	1	1541	1	1	0	1	1	979	1	0	1	1	1	1399	0
0	32	3099	6	3	2	0	2	3033	1	2	0	2	2	2473	1	0	2	2	2	3433	0
