#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
2	5	13	13	1	1	0	7	7	1	1	0	1	1	6	3	0	1	2	3	16	0
2	6	21	5	3	1	0	3	7	1	2	0	1	3	7	3	0	1	6	2	24	0
2	7	38	12	4	2	0	8	20	2	1	0	1	1	27	2	0	1	4	6	52	0
2	8	38	10	1	2	0	8	19	2	1	0	1	5	24	5	0	1	5	7	44	0
2	9	102	7	2	2	0	8	73	2	5	0	3	5	109	11	0	2	6	7	121	0
2	10	74	8	3	3	0	11	30	1	2	0	1	5	61	5	0	2	1	4	83	0
2	11	151	14	4	3	0	21	109	4	6	0	1	8	83	5	0	3	8	10	141	0
2	12	608	57	12	9	0	15	374	4	3	0	5	38	518	20	0	6	50	37	735	0
2	13	193	12	4	2	0	13	144	3	5	0	1	19	173	12	0	3	15	10	213	0
2	14	47	4	2	1	0	2	28	1	1	0	1	2	38	3	0	1	2	1	49	0
2	15	116	4	1	2	0	6	70	2	3	0	1	1	72	2	0	2	1	3	112	0
2	16	127	4	1	1	0	5	69	1	2	0	1	1	85	1	0	1	3	3	112	0
2	17	143	4	1	1	0	3	95	1	2	0	1	2	116	3	0	1	1	3	162	0
2	18	211	3	2	1	0	16	148	1	1	0	1	3	144	2	0	1	3	3	225	0
2	19	263	4	1	2	0	7	137	2	2	0	1	3	147	3	0	1	2	1	231	0
2	20	1294	22	3	1	0	14	860	1	4	0	1	12	987	8	0	1	10	11	1566	0
2	21	461	4	1	1	0	5	326	1	1	0	1	4	369	1	0	1	5	3	468	0
2	22	387	3	1	1	0	8	293	2	1	0	1	1	364	3	0	1	1	2	521	0
2	23	278	1	1	1	0	6	196	1	2	0	1	1	162	3	0	1	1	2	237	0
2	24	398	2	1	1	0	6	311	1	1	0	1	1	323	1	0	1	1	2	435	0
2	25	1971	15	2	1	0	11	1294	1	2	0	1	3	1395	5	0	1	3	3	2131	0
2	26	697	3	1	1	0	5	538	2	1	0	1	1	621	2	0	1	1	1	769	0
2	27	427	3	1	1	0	2	383	1	1	0	1	1	336	2	0	1	1	1	478	0
2	28	2259	8	1	1	0	8	1509	1	1	0	2	1	1820	2	0	1	2	2	2502	0
2	29	1027	1	1	1	0	5	816	1	1	0	1	1	777	2	0	1	1	2	1052	0
2	30	2812	83	20	50	0	44	2129	27	28	0	32	36	2078	23	0	50	92	19	2920	0
2	31	1071	39	9	17	0	19	972	18	9	0	13	15	877	10	0	23	38	7	1118	0
2	32	3348	68	16	33	0	28	2458	15	16	0	23	22	2704	18	0	33	65	19	3462	0
2	33	2334	34	12	17	0	9	1685	12	8	0	11	9	2022	7	0	13	31	13	2548	0
2	34	2459	34	10	16	0	10	1851	9	9	0	13	6	1999	9	0	12	41	16	2334	0
2	35	4292	11	7	3	0	5	2534	6	3	0	2	4	4779	4	0	4	13	6	5674	0
2	36	4773	7	2	6	0	1	2879	4	1	0	2	4	5169	3	0	2	6	2	5996	0
2	37	4537	1	1	2	0	1	2508	1	1	0	2	1	5247	3	0	1	1	2	6068	0
2	38	10520	2	1	1	0	1	4902	1	1	0	5	1	13677	4	0	1	1	1	13972	0
3	2	8966	10382	4300	7038	0	10018	13181	4988	8068	0	4060	5199	2771	3543	0	6599	8605	3450	6084	0
3	3	2	2	1	1	0	1	1	1	1	0	1	1	1	1	0	2	2	1	1	0
3	4	10	7	2	2	0	4	2	2	2	0	2	1	3	1	0	1	3	2	7	0
3	5	16	7	1	3	0	2	6	1	1	0	1	2	4	3	0	1	5	5	9	0
3	6	22	4	1	2	0	3	5	2	1	0	1	3	9	2	0	2	3	4	27	0
3	7	48	11	4	6	0	3	30	1	5	0	3	4	38	2	0	2	3	6	53	0
3	8	41	4	5	4	0	4	30	2	1	0	2	2	28	6	0	1	6	7	55	0
3	9	110	7	5	6	0	4	80	2	3	0	4	5	131	11	0	3	7	11	120	0
3	10	88	6	4	6	0	5	65	3	6	0	2	2	56	8	0	2	5	6	86	0
3	11	146	11	5	5	0	13	99	5	10	0	3	6	108	13	0	3	6	7	158	0
