#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	2	8	1	2	2	3	1	3	2	2	0	1	1	3	1	2	18	14	22	23	2
0	11	28	1	1	5	0	2	14	2	1	0	1	1	20	1	0	13	8	18	42	0
0	12	237	3	6	54	0	2	116	1	53	0	2	2	150	35	0	18	8	19	135	0
0	13	69	3	1	12	0	1	24	2	3	0	1	1	30	3	0	4	4	24	67	0
0	18	79	1	1	6	0	1	31	1	1	0	1	1	52	4	0	4	3	6	59	0
0	20	671	1	5	49	0	3	319	1	41	0	3	1	422	18	0	12	3	19	464	0
0	21	174	1	1	9	0	1	71	1	4	0	1	1	106	4	0	5	2	6	112	0
0	22	585	2	1	11	0	1	317	1	3	0	1	1	581	6	0	4	2	10	450	0
0	23	49	1	1	1	0	1	33	1	1	0	1	1	62	1	0	1	1	1	53	0
0	24	206	1	1	4	0	1	110	1	4	0	1	1	203	3	0	3	1	8	165	0
0	25	1113	1	5	32	0	1	581	2	9	0	1	1	812	11	0	3	5	3	910	0
0	26	592	1	1	7	0	1	332	2	7	0	1	1	563	4	0	10	6	12	459	0
0	27	248	2	1	1	0	1	136	1	1	0	1	1	319	1	0	2	1	3	223	0
0	28	1718	1	1	11	0	1	1031	1	3	0	1	1	1419	4	0	3	1	9	1365	0
0	29	685	2	1	4	0	1	385	1	1	0	1	1	755	3	0	1	3	6	634	0
0	30	2093	1	5	1	0	1	1194	1	2	0	2	1	1826	3	0	1	5	5	1765	0
0	31	1026	1	1	1	0	1	603	1	1	0	1	1	1192	1	0	2	1	6	949	0
0	32	3107	1	1	1	0	1	1851	1	1	0	1	1	2725	2	0	3	3	2	2715	0
0	33	2584	1	1	2	0	1	1415	1	1	0	1	1	2273	1	0	1	1	5	2346	0
0	34	2621	1	1	1	0	1	1618	1	1	0	1	1	3178	2	0	1	1	4	2614	0
0	35	9695	1	3	1	0	1	6110	1	1	0	1	1	8535	1	0	1	1	1	8673	0
0	36	9438	1	1	1	0	2	6394	1	1	0	2	1	9429	1	0	1	2	2	8871	0
0	37	10489	1	1	1	0	1	7364	1	1	0	1	1	8622	6	0	1	2	1	9618	0
0	38	21792	2	3	1	0	2	19838	1	2	0	3	1	16438	8	0	1	2	1	21454	0
1	2	31	1	3	1	423	1	14	3	2	318	1	3	18	10	314	1	1	1	26	475
1	6	1	1	3	1	0	1	1	2	1	0	12	10	17	37	0	1	1	1	1	0
1	7	6	1	16	1	0	1	6	7	1	0	37	25	72	138	0	1	1	2	1	0
1	8	10	1	11	1	0	1	6	13	1	0	26	11	93	191	0	1	1	2	6	0
1	9	74	1	33	1	0	1	27	12	1	0	47	19	150	375	0	1	2	26	43	0
1	10	22	2	18	1	0	1	11	12	1	0	19	6	63	86	0	1	1	4	11	0
1	11	64	3	48	1	0	1	26	21	1	0	19	6	155	267	0	1	1	22	32	0
1	12	1373	4	890	1	0	2	826	477	3	0	21	6	337	211	0	2	5	514	558	0
1	13	204	1	142	2	0	2	93	45	1	0	12	7	127	199	0	1	1	57	103	0
1	14	35	1	9	1	0	1	11	4	1	0	4	3	47	107	0	1	1	6	40	0
1	15	37	1	7	1	0	1	15	2	1	0	2	4	46	153	0	1	1	11	31	0
1	16	32	1	5	1	0	1	10	4	1	0	9	4	55	200	0	1	1	8	35	0
1	17	51	1	9	1	0	1	22	5	1	0	3	2	66	190	0	1	1	8	57	0
1	18	95	1	8	1	0	1	39	5	1	0	2	2	92	223	0	1	1	12	80	0
1	19	68	1	11	1	0	1	13	6	1	0	3	3	79	151	0	1	1	8	56	0
1	20	1567	1	119	2	0	2	880	69	3	0	8	3	628	292	0	3	3	408	1035	0
1	21	283	2	29	1	0	1	138	9	1	0	1	3	227	168	0	1	1	25	224	0
1	22	351	1	2	1	0	1	159	1	1	0	5	1	266	195	0	1	1	15	289	0
1	23	67	1	1	1	0	1	32	1	1	0	1	1	126	224	0	1	1	9	85	0
1	24	243	2	4	1	0	1	93	2	2	0	3	1	187	192	0	1	1	18	172	0
1	25	1746	3	25	1	0	2	920	11	1	0	3	2	884	293	0	1	2	218	1398	0
1	26	487	1	5	1	0	1	221	1	1	0	1	1	449	251	0	1	1	24	417	0
1	27	242	1	1	1	0	1	117	1	1	0	1	1	250	114	0	1	1	7	311	0
1	28	2161	1	5	1	0	1	1180	2	1	0	2	1	1246	312	0	1	1	159	1821	0
1	29	635	1	2	2	0	1	300	1	1	0	1	3	567	200	0	1	1	24	690	0
1	30	2326	1	2	1	0	1	1246	1	2	0	2	1	1540	291	0	2	2	98	2190	0
1	31	756	1	1	1	0	1	353	1	1	0	1	1	720	122	0	1	1	13	889	0
1	32	2989	1	3	1	0	1	1695	1	1	0	1	1	2012	80	0	1	2	62	2836	0
1	33	2741	1	2	2	0	1	1433	1	2	0	1	1	1870	91	0	1	1	32	2728	0
1	34	2384	1	1	1	0	1	1155	1	1	0	2	1	1964	44	0	1	1	13	2720	0
1	35	8641	2	3	1	0	1	5101	2	1	0	3	2	5834	15	0	2	1	32	8384	0
1	36	8881	1	2	1	0	1	5055	1	3	0	3	1	7245	29	0	1	1	9	9285	0
1	37	10426	1	2	1	0	1	6405	1	1	0	1	1	7045	7	0	1	1	2	10373	0
1	38	21679	1	1	2	0	3	17186	1	3	0	1	1	13190	6	0	2	1	1	22570	0
2	2	29	1	4	1	110	1	16	2	1	61	2	2	13	8	52	1	1	1	39	89
2	4	3	1	7	1	0	1	1	3	1	0	11	5	46	51	0	1	1	1	1	0
2	5	2	1	1	1	0	1	1	1	1	0	5	1	9	26	0	1	1	1	1	0
2	6	3	1	6	1	0	1	2	3	1	0	20	12	42	86	0	1	1	2	2	0
2	7	11	1	9	1	0	1	6	11	1	0	31	14	65	159	0	2	1	6	20	0
2	8	23	1	16	1	0	1	11	12	2	0	26	10	65	188	0	1	1	9	13	0
2	9	78	2	38	1	0	1	35	19	1	0	26	13	110	275	0	3	1	26	52	0
2	10	37	1	23	1	0	1	15	10	1	0	10	2	54	115	0	1	2	15	43	0
2	11	89	2	68	3	0	1	39	18	1	0	13	9	109	180	0	4	1	27	52	0
2	12	976	3	597	1	0	5	625	346	4	0	24	5	234	167	0	3	5	336	499	0
2	13	121	1	89	1	0	2	93	35	1	0	7	6	72	137	0	1	1	40	102	0
2	14	43	1	5	1	0	1	23	5	1	0	6	2	44	118	0	1	1	3	47	0
2	15	42	2	2	1	0	1	17	4	1	0	3	6	49	186	0	1	1	5	53	0
2	16	25	1	9	1	0	1	16	2	1	0	7	2	58	177	0	1	1	9	58	0
2	17	72	1	10	1	0	1	45	5	1	0	6	2	81	140	0	1	1	9	75	0
2	18	101	1	5	1	0	1	45	4	1	0	2	1	101	176	0	1	1	15	106	0
2	19	102	1	9	1	0	1	32	4	1	0	5	3	85	126	0	1	2	11	89	0
2	20	1232	1	95	1	0	2	725	35	1	0	2	3	515	235	0	1	4	259	946	0
2	21	326	1	17	1	0	1	148	9	1	0	4	3	207	118	0	1	1	24	299	0
2	22	359	1	3	1	0	1	212	1	1	0	4	1	329	159	0	1	1	21	353	0
2	23	102	1	1	1	0	1	60	1	1	0	1	1	117	130	0	1	1	8	115	0
2	24	239	1	3	1	0	1	109	1	1	0	1	1	166	160	0	1	1	13	243	0
