#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
2	24	1002	0	0	0	0	0	366	0	0	0	0	0	629	0	0	0	0	0	609	0
2	26	1687	0	0	0	0	0	385	0	0	0	0	0	826	0	0	0	0	0	738	0
2	27	864	0	0	0	0	0	327	0	0	0	0	0	450	0	0	0	0	0	349	0
2	27	412	0	0	0	0	0	79	0	0	0	0	0	125	0	0	0	0	0	132	0
2	28	1991	0	0	0	0	0	872	0	0	0	0	0	842	0	0	0	0	0	1292	0
2	29	1334	0	0	0	0	0	798	0	0	0	0	0	989	0	0	0	0	0	628	0
2	31	1006	0	0	0	0	0	356	0	0	0	0	0	783	0	0	0	0	0	415	0
2	32	19807	0	0	0	0	0	7481	0	0	0	0	0	8448	0	0	0	0	0	11638	0
2	33	37280	0	0	0	0	0	17712	0	0	0	0	0	18377	0	0	0	0	0	24048	0
2	33	47525	0	0	0	0	0	24456	0	0	0	0	0	22618	0	0	0	0	0	30274	0
2	35	12480	0	0	0	0	0	8268	0	0	0	0	0	5651	0	0	0	0	0	9120	0
2	35	4051	0	0	0	0	0	3607	0	0	0	1	0	2693	0	0	0	0	0	3664	0
2	37	42436	0	0	0	0	0	17357	0	0	0	2	0	33625	0	0	0	0	0	25003	0
2	37	37236	0	0	0	0	0	16165	0	0	0	1	0	35193	1	0	0	0	0	19089	0
2	38	75437	0	0	0	0	0	22545	0	0	0	1	0	35141	1	0	0	0	0	35168	0
2	40	387	0	0	0	0	0	68	0	0	0	0	0	112	0	0	0	0	0	163	0
3	2	0	0	0	0	208	0	0	0	0	78	0	0	0	0	155	0	0	0	0	107
3	12	116	0	0	0	0	0	223	0	0	0	1	1	299	3	0	0	0	0	72	0
3	12	327	0	0	0	0	0	814	0	0	0	0	0	772	0	0	0	0	0	506	0
3	13	712	0	0	0	0	0	1145	0	0	0	4	0	1319	5	0	0	0	0	1185	0
3	15	3956	0	0	0	0	0	2556	0	0	0	0	0	2574	1	0	0	0	0	4839	0
3	16	3543	0	0	0	0	0	2007	0	0	0	0	0	2344	0	0	0	0	0	2284	0
3	16	950	0	0	0	0	0	263	0	0	0	0	0	382	0	0	0	0	0	691	0
3	18	711	0	0	0	0	0	303	0	0	0	0	0	378	1	0	0	0	0	576	0
3	19	160	0	0	0	0	0	81	0	0	0	0	0	110	0	0	0	0	0	178	0
3	19	116	0	0	0	0	0	43	0	0	0	0	0	62	0	0	0	0	0	108	0
3	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	24	683	0	0	0	0	0	274	0	0	0	0	0	520	2	0	0	0	0	475	0
3	24	702	0	0	0	0	0	382	0	0	0	0	0	573	0	0	0	0	0	693	0
3	26	1476	0	0	0	0	0	397	0	0	0	0	0	706	1	0	0	0	0	810	0
3	27	740	0	0	0	0	0	342	0	0	0	0	0	441	1	0	0	0	0	504	0
3	27	375	0	0	0	0	0	78	0	0	0	0	0	135	0	0	0	0	0	198	0
3	28	1286	0	0	0	0	0	745	0	0	0	0	0	648	0	0	0	0	0	1625	0
3	29	1142	0	0	0	0	0	758	0	0	0	0	0	868	0	0	0	0	0	614	0
3	31	919	0	0	0	0	0	416	0	0	0	0	0	762	0	0	0	0	0	439	0
3	32	12876	0	0	0	0	0	7740	0	0	0	0	0	6353	0	0	0	0	0	15420	0
3	33	28723	0	0	0	0	0	18689	0	0	0	1	0	14484	0	0	0	0	0	32136	0
3	33	39579	0	0	0	0	0	26835	0	0	0	0	0	19396	1	0	0	0	0	39437	0
